policy_name,policy_file,policy_version,datasource_name,api_service,method,endpoint,operation,field,permission
AWS CloudTrails Without Object-level Events Logging Enabled,security/aws/log_ensure_cloudtrail_bucket_object_logging/log_ensure_cloudtrail_bucket_object_logging.pt,3.1.1,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS CloudTrails Without Object-level Events Logging Enabled,security/aws/log_ensure_cloudtrail_bucket_object_logging/log_ensure_cloudtrail_bucket_object_logging.pt,3.1.1,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS CloudTrails Without Object-level Events Logging Enabled,security/aws/log_ensure_cloudtrail_bucket_object_logging/log_ensure_cloudtrail_bucket_object_logging.pt,3.1.1,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS CloudTrails Without Object-level Events Logging Enabled,security/aws/log_ensure_cloudtrail_bucket_object_logging/log_ensure_cloudtrail_bucket_object_logging.pt,3.1.1,ds_trail_list,AWS,GET,https://cloudtrail.us-east-1.amazonaws.com/?Action=DescribeTrails,DescribeTrails,Name,cloudtrail:DescribeTrails
AWS CloudTrails Without Object-level Events Logging Enabled,security/aws/log_ensure_cloudtrail_bucket_object_logging/log_ensure_cloudtrail_bucket_object_logging.pt,3.1.1,ds_trail_list_with_selectors,AWS,POST,https://cloudtrail.{region}.amazonaws.com/,GetEventSelectors,EventSelectors,cloudtrail:GetEventSelectors
AWS Cost Report - EC2 Instance Cost Per Hour,cost/aws/instance_cost_per_hour/aws_instance_cost_per_hour.pt,0.2.6,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS Cost Report - EC2 Instance Cost Per Hour,cost/aws/instance_cost_per_hour/aws_instance_cost_per_hour.pt,0.2.6,ds_billing_centers,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Cost Report - EC2 Instance Cost Per Hour,cost/aws/instance_cost_per_hour/aws_instance_cost_per_hour.pt,0.2.6,ds_currency_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/currency/currency_reference.json,Get Raw Content,{entire response},
AWS Cost Report - EC2 Instance Cost Per Hour,cost/aws/instance_cost_per_hour/aws_instance_cost_per_hour.pt,0.2.6,ds_currency_code,Flexera,GET,https://{rs_optima_host}/bill-analysis/orgs/{org}/settings/currency_code,Get Currency Code,id,
AWS Cost Report - EC2 Instance Cost Per Hour,cost/aws/instance_cost_per_hour/aws_instance_cost_per_hour.pt,0.2.6,ds_instance_types,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,billing_center_id,
AWS Cost Report - EC2 Instance Cost Per Hour,cost/aws/instance_cost_per_hour/aws_instance_cost_per_hour.pt,0.2.6,ds_aws_instance_types,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/aws/aws_ec2_instance_types.json,Get Raw Content,{entire response},
